"TINWSYS_IS_NUMBER","WATER_SYSTEM_NUMBER","SYSTEM_NAME","REGULATING_AGENCY","COUNTY","FEDERAL_CLASSIFICATION_TYPE","SERVICE_CONNECTIONS","POPULATION","OWNER_TYPE","PL_ADDRESS","PL_ADDRESS_CITY_NAME","PL_ADDRESS_STATE_CODE","PL_ADDRESS_ZIP_CODE","LATITUDE_MEASURE","LONGITUDE_MEASURE","SERVICE_AREA_ECONOMIC_STATUS","MHI","CALENVIRO_SCREEN_SCORE","RISK_ASSESSMENT_RESULT","CURRENT_FAILING","FINAL_SAFER_STATUS","FAILING_START_DATE","PRIMARY_MCL_VIOLATION","PRIMARY_ANALYTES","SECONDARY_MCL_VIOLATION","SECONDARY_ANALYTES","E_COLI_VIOLATION","E_COLI_ANALYTES","TREATMENT_TECHNIQUE_VIOLATION","TT_ANALYTES","MONITORING_AND_REPORTING_VIOLATION","MONITORING_AND_REPORTING_ANALYTES","SOURCE_CAPACITY_VIOLATION","SOURCE_CAPACITY_ANALYTES","TOTAL_WEIGHTED_RISK_SCORE_BEFORE_DIVIDING_BY_CATEGORY_COUNT","WEIGHTED_WATER_QUALITY_SCORE","WATER_QUALITY_SCORE","WATER_QUALITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","WATER_QUALITY_RISK_LEVEL","WEIGHTED_ACCESSIBILITY_SCORE","ACCESSIBILITY_SCORE","ACCESSIBILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","ASSESSIBILITY_RISK_LEVEL","WEIGHTED_AFFORDABILITY_SCORE","AFFORDABILITY_SCORE","AFFORDABILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","AFFORDABILITY_RISK_LEVEL","WEIGHTED_TMF_CAPACITY_SCORE","TMF_CAPACITY_SCORE","TMF_CAPACITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","TMF_CAPACITY_RISK_LEVEL","HISTORY_OF_E_COLI_PRESENCE_RISK_LEVEL","HISTORY_OF_E_COLI_PRESENCE_THRESHOLD_MET","HISTORY_OF_E_COLI_PRESENCE_RAW_SCORE","HISTORY_OF_E_COLI_PRESENCE_WEIGHTED_SCORE","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RISK_LEVEL","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_THRESHOLD_MET","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RAW_SCORE","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_WEIGHTED_SCORE","TREATMENT_TECHNIUQE_VIOLATIONS_RISK_LEVEL","TREATMENT_TECHNIUQE_VIOLATIONS_THRESHOLD_MET","TREATMENT_TECHNIUQE_VIOLATIONS_RAW_SCORE","TREATMENT_TECHNIUQE_VIOLATIONS_WEIGHTED_SCORE","PAST_PRESENCE_ON_THE_FAILING_LIST_RISK_LEVEL","PAST_PRESENCE_ON_THE_FAILING_LIST_THRESHOLD_MET","PAST_PRESENCE_ON_THE_FAILING_LIST_RAW_SCORE","PAST_PRESENCE_ON_THE_FAILING_LIST_WEIGHTED_SCORE","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL","CONSTITUENTS_OF_EMERGING_CONCERN_THRESHOLD_MET","CONSTITUENTS_OF_EMERGING_CONCERN_RAW_SCORE","CONSTITUENTS_OF_EMERGING_CONCERN_WEIGHTED_SCORE","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RISK_LEVEL","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_THRESHOLD_MET","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RAW_SCORE","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_WEIGHTED_SCORE","NUMBER_OF_WATER_SOURCES_RISK_LEVEL","NUMBER_OF_WATER_SOURCES_THRESHOLD_MET","NUMBER_OF_WATER_SOURCES_RAW_SCORE","NUMBER_OF_WATER_SOURCES_WEIGHTED_RAW_SCORE","ABESENCE_OF_INTERTIES_RISK_LEVEL","ABESENCE_OF_INTERTIES_THRESHOLD_MET","ABESENCE_OF_INTERTIES_RAW_SCORE","ABESENCE_OF_INTERTIES_WEIGHTED_SCORE","SOURCE_CAPACITY_VIOLATION_RISK_LEVEL","SOURCE_CAPACITY_VIOLATIONS_THRESHOLD_MET","SOURCE_CAPACITY_VIOLATIONS_RAW_SCORE","SOURCE_CAPACITY_VIOLATIONS_WEIGHTED_SCORE","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RISK_LEVEL","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_THRESHOLD_MET","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RAW_SCORE","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_WEIGHTED_SCORE","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RISK_LEVEL","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_THRESHOLD_MET","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RAW_SCORE","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_WEIGHTED_SCORE","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RISK_LEVEL","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_THRESHOLD_MET","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RAW_SCORE","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_WEIGHTED_SCORE","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_THRESHOLD_MET","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RAW_SCORE","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_WEIGHTED_SCORE","EXTREME_WATER_BILL_RISK_LEVEL","EXTREME_WATER_BILL_THRESHOLD_MET","EXTREME_WATER_BILL_RAW_SCORE","EXTREME_WATER_BILL_WEIGHTED_SCORE","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RISK_LEVEL","HOUSEHOLD_SOCIOECONOMIC_BURDEN_THRESHOLD_MET","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE","HOUSEHOLD_SOCIOECONOMIC_BURDEN_WEIGHTED_SCORE","TOTAL_NET_ANNUAL_INCOME_RISK_LEVEL","TOTAL_NET_ANNUAL_INCOME_THRESHOLD_MET","TOTAL_NET_ANNUAL_INCOME_RAW_SCORE","TOTAL_NET_ANNUAL_INCOME_WEIGHTED_SCORE","OPERATING_RATIO_RISK_LEVEL","OPERATING_RATIO_THRESHOLD_MET","OPERATING_RATIO_RAW_SCORE","OPERATING_RATIO_WEIGHTED_SCORE","DAYS_CASH_ON_HAND_RISK_LEVEL","DAYS_CASH_ON_HAND_THRESHOLD_MET","DAYS_CASH_ON_HAND_RAW_SCORE","DAYS_CASH_ON_HAND_WEIGHTED_SCORE","OPERATOR_CERTIFICATION_VIOLATIONS_RISK_LEVEL","OPERATOR_CERTIFICATION_VIOLATIONS_THRESHOLD_MET","OPERATOR_CERTIFICATION_VIOLATIONS_RAW_SCORE","OPERATOR_CERTIFICATION_VIOLATIONS_WEIGHTED_SCORE","MONITORING_AND_REPORTING_VIOLATIONS_RISK_LEVEL","MONITORING_AND_REPORTING_VIOLATIONS_THRESHOLD_MET","MONITORING_AND_REPORTING_VIOLATIONS_SCORE","MONITORING_AND_REPORTING_VIOLATIONS_WEIGHTED_SCORE","SIGNIFICANT_DEFICIENCIES_RISK_LEVEL","SIGNIFICANT_DEFICIENCIES_THRESHOLD_MET","SIGNIFICANT_DEFICIENCIES_RAW_SCORE","SIGNIFICANT_DEFICIENCIES_WEIGHTED_SCORE","FUNDING_RECEIVED_SINCE_2017","TECHNICAL_ASSISTANCE_FUNDING_SINCE_2017","LEGISTATIVE_DISTRICT","REGIONAL_BOARD","CREATED_DATE"
35,"CA0110010","ZONE 7 WATER AGENCY","DISTRICT 04 - SAN FRANCISCO","ALAMEDA","COMMUNITY",12,40,"LOCAL","100 N CANYONS PKWY","LIVERMORE","CA","94551-9486",37.633267,-121.735897,"Non-DAC","168043","12.628926309318","Not Assessed","Not Failing","Not Assessed","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed",0.00,0.00,"State Senate District 7","Region 2 San Francisco","2025-11-02"
36,"CA0110011","CITY OF LIVERMORE","DISTRICT 04 - SAN FRANCISCO","ALAMEDA","COMMUNITY",9958,38892,"LOCAL","101 W JACK LONDON BLVD","LIVERMORE","CA","94551-7632",37.716502,-121.763702,"Non-DAC","148661","14.0237142980054","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","0.00","0.00","0.00","0","NONE","0.00","0.00","0","NONE","0.00","0.00","0","NONE","0.00","0.00","0","NONE","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","NONE","1 or more interties","0","0","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 7","Region 2 San Francisco","2025-11-02"
37,"CA0110012","TOWN OF SUNOL - SFPUC","DISTRICT 04 - SAN FRANCISCO","ALAMEDA","COMMUNITY",102,281,"LOCAL","SF PUBLIC UTILITIES COMMISSION, STATE HWY 84/PLEASANTON SUNOL ROAD","SUNOL","CA","94586",37.600180,-121.887875,"Non-DAC","167250","6.41665021246749","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","1.67","0.00","0.00","0.00","NONE","1.00","0.50","0.60","MEDIUM","0.00","0.00","0.00","NONE","0.67","0.33","0.40","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","HIGH","1 source","1","3","NONE","1 or more interties","0","0","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","HIGH","Less than $0","1","1.00","NONE","1 or greater","0","0.00","HIGH","Less than 1","1","1.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 7","Region 2 San Francisco","2025-11-02"
41,"CA0110016","ALAMEDA POINT","DISTRICT 04 - SAN FRANCISCO","ALAMEDA","COMMUNITY",378,1400,"LOCAL","ALAMEDA POINT, 250 MALL SQAURE","ALAMEDA","CA","94501",37.784265,-122.310715,"SDAC","14094","41.7994030133841","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","2.00","0.00","0.00","0.00","NONE","1.00","0.50","0.50","MEDIUM","0.33","0.33","0.17","LOW","0.67","0.33","0.34","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","HIGH","1 source","1","3","NONE","1 or more interties","0","0","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","System does not charge customers directly for water","0","0.00","NONE","System does not charge customers directly for water","0","0.00","MEDIUM","Combined score of 0.25 - 0.5","0.5","1.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 9","Region 2 San Francisco","2025-11-02"
43,"CA0110018","SFPUC-PLEASANTON WELLS","DISTRICT 04 - SAN FRANCISCO","ALAMEDA","COMMUNITY",1,1,"LOCAL","VALLEY AVENUE","PLEASANTON","CA","94566",37.634866,-121.893871,"Non-DAC","178226","9.51399252289364","Not Assessed","Not Failing","Not Assessed","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed",0.00,0.00,"State Senate District 7","Region 2 San Francisco","2025-11-02"
7623,"CA0202501","DIAMOND VALLEY SCHOOL","LPA32 - ALPINE COUNTY","ALPINE","NON-TRANSIENT NON-COMMUNITY",5,100,"PRIVATE","35 HAWKSIDE DR.","MARKLEEVILLE","CA","96120",38.766353,-119.808460,"SDAC","57500","13.6151637006617","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","1.33","0.00","0.00","0.00","NONE","1.33","0.67","1.00","HIGH","0.00","0.00","0.00","NONE","0.00","0.00","0.00","NONE","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","HIGH","1 source","1","3","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","System does not charge customers directly for water","0","0.00","NONE","System does not charge customers directly for water","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","NONE","Systems serving military bases; NTNC systems that are K-12 schools","0","0.00","NONE","Systems serving military bases; NTNC systems that are K-12 schools","0","0.00","NONE","Systems serving military bases; NTNC systems that are K-12 schools","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 1","Region 6 Lahontan (South Lake Tahoe Office)","2025-11-02"
7624,"CA0202503","WOODFORDS MUTUAL WATER COMPANY","LPA32 - ALPINE COUNTY","ALPINE","COMMUNITY",16,50,"PRIVATE"," ","MARKLEEVILLE","CA","96120",38.773834,-119.817313,"SDAC","57500","13.6151637006617","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","2.00","0.00","0.00","0.00","NONE","2.00","1.00","1.00","HIGH","0.00","0.00","0.00","NONE","0.00","0.00","0.00","NONE","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","HIGH","1 source","1","3","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","HIGH","1 or more source(s) within a Critically Overdrafted Basin","1","2","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 1","Region 6 Lahontan (South Lake Tahoe Office)","2025-11-02"
7629,"CA0202504","MARKLEEVILLE WATER CO.","LPA32 - ALPINE COUNTY","ALPINE","COMMUNITY",167,175,"PRIVATE"," ","MARKLEEVILLE","CA","96120",38.689366,-119.796962,"Non-DAC","82321","13.6151637006617","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","1.00","0.00","0.00","0.00","NONE","0.33","0.17","0.33","LOW","0.00","0.00","0.00","NONE","0.67","0.33","0.67","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",3435300.00,0.00,"State Senate District 1","Region 6 Lahontan (South Lake Tahoe Office)","2025-11-02"
7577,"CA0202522","SIERRA PINES MOBILE HOME PARK","LPA32 - ALPINE COUNTY","ALPINE","COMMUNITY",32,70,"PRIVATE","19750 Hwy 89","MARKLEEVILLE","CA","96120",38.757564,-119.817858,"SDAC","57500","13.6151637006617","Potentially At-Risk","Not Failing","Potentially At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","3.00","0.00","0.00","0.00","NONE","2.00","1.00","0.67","HIGH","0.00","0.00","0.00","NONE","1.00","0.50","0.33","MEDIUM","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","HIGH","1 source","1","3","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","HIGH","Top 10% of systems most at risk of drought and water shortage","1.00","2.00","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","System does not charge customers directly for water","0","0.00","NONE","System does not charge customers directly for water","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","HIGH","Less than 1","1","1.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 1","Region 5 Central Valley (Redding Office)","2025-11-02"
7618,"CA0202599","ALPINE EARLY LEARNING CENTER","LPA32 - ALPINE COUNTY","ALPINE","NON-TRANSIENT NON-COMMUNITY",1,35,"PRIVATE","100 Foothill Road","MARKLEEVILLE","CA","96120",38.766330,-119.808584,"SDAC","57500","13.6151637006617","Not Assessed","Not Failing","Not Assessed","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed",0.00,0.00,"Senate District 04","Region 6 Lahontan (South Lake Tahoe Office)","2025-11-02"
56,"CA0210001","LAKE ALPINE WATER COMPANY","DISTRICT 10 - STOCKTON","ALPINE","COMMUNITY",493,625,"PRIVATE","301 Schimke Rd.","BEAR VALLEY","CA","95223",38.466442,-120.042409,"Non-DAC","93625","13.6151637006617","At-Risk","Not Failing","At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","3.66","0.75","0.25","0.20","LOW","1.33","0.67","0.36","HIGH","1.08","1.08","0.30","HIGH","0.50","0.25","0.14","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","MEDIUM","25% or more sources meeting the criteria (score range: 0 < n <= 0.5)","0.25","0.50","NONE","No violation over the last three years","0","0","MEDIUM","1 Failing list occurrence over the last 3 years","0.5","1.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","HIGH","1 source","1","3","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","NONE","No sources within a Critically Overdrafted Basin","0","0","MEDIUM","1.5% or greater AND less than 2.5%","0.75","2.40","HIGH","Equal to or greater than 200% of statewide average","1.0","1.00","NONE","Combined score of 0 - 0.125","0","0.00","HIGH","Less than $0","1","1.00","NONE","1 or greater","0","0.00","Not Assessed","Not Assessed","0.5","0.50","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,142515.75,"State Senate District 1","Region 5 Central Valley (Sacramento Office)","2025-11-02"
